"date"	"max_temp"	"min_temp"	"mean_temp"	"rel_humidity_pct"	"wind_speed"	"rain"
2001-01-01	7	-1.1	3.3	82.7	1.6	0
2001-01-02	10.6	3.8	7.6	91.1	15.8	3
2001-01-03	10.4	6.5	8.2	79.9	21.1	0
2001-01-04	9.5	6	7.8	83.4	19.7	0.5
2001-01-05	11.5	6.7	9.3	83.6	14.4	1
2001-01-06	14.1	5.4	10.6	93.4	14.8	11.4
2001-01-07	12.9	3.8	8.2	75.6	9	4
2001-01-08	8.1	0.9	4.6	72.7	5.6	0
2001-01-09	7.5	-2.6	2.4	78.7	5.8	0
2001-01-10	3.9	-1.7	1.7	94.6	5.1	0.9
2001-01-11	10.8	3.5	7.3	95.8	8.6	4.5
2001-01-12	10.7	5.4	8.2	92.2	12.5	12
2001-01-13	9.5	5.4	6.9	91	6.5	7
2001-01-14	12.5	0.7	6.5	79.2	4.2	0
2001-01-15	11.3	1	6.1	81	4.9	0
2001-01-16	7	1.2	4.3	89.6	7.4	0
2001-01-17	8	4.3	5.8	89.4	7.6	2.9
2001-01-18	8.4	3.1	5.6	84.6	7.9	0
2001-01-19	9.4	4.3	6.2	89.9	10.2	5.2
2001-01-20	10.5	0.7	5.4	77.4	9.3	0
2001-01-21	10.3	-1	4	79.1	3.9	0
2001-01-22	10.2	-2	3.4	85	4.4	0
2001-01-23	8.3	-1.7	3.8	91.6	9	0
2001-01-24	12.5	7.2	10.1	91	20.6	5
2001-01-25	11.7	8.8	10.6	80.7	25	5
2001-01-26	8.9	4.6	6.7	75.8	21.5	1.1
2001-01-27	10.5	1.6	6	89.6	23.6	9
2001-01-28	11.6	6.1	9.1	85.5	10	4
2001-01-29	9.9	4.9	7.2	63.1	27.3	0.6
2001-01-30	10.7	2.6	5.8	58.6	23.2	0
2001-01-31	11	-0.8	4.3	64.6	4.6	0
2001-02-01	15.1	-1.6	7.2	74.6	4.9	0
2001-02-02	14.6	5.4	10.5	61.9	18.1	0
2001-02-03	13	-0.3	6.5	78.5	7.6	0
2001-02-04	12.9	-0.7	5.7	82.7	4.9	0
2001-02-05	11.7	2.8	7.2	84.2	14.8	0
2001-02-06	10.4	6.4	8.3	89.2	10.7	0
2001-02-07	12.4	8.7	10.2	75	19.2	0
2001-02-08	10.4	6.6	8	83.2	20.2	20
2001-02-09	9.3	5.5	6.6	75.2	17.8	11
2001-02-10	10.1	-0.6	6.2	73.6	10.7	0
2001-02-11	14	6.7	9.5	85.7	5.3	0
2001-02-12	17.3	5.2	9.9	82.4	4.6	0
2001-02-13	17.3	2.1	9.2	81.3	4.2	0
2001-02-14	17.5	2.3	9	74.4	5.3	0
2001-02-15	9.7	2.6	6.2	72.4	11.1	0
2001-02-16	12.9	4.6	7.1	75.2	13.2	0
2001-02-17	14.7	2.3	7.9	58	8.3	0
2001-02-18	16	-1.2	6.9	61	6.3	0
2001-02-19	10.9	-2.1	3.3	67.2	11.6	0
2001-02-20	11.5	0.7	5.8	64.6	8.3	0
2001-02-21	14.7	-1.2	5.7	62.5	4.6	0
2001-02-22	16.8	-3.1	6.6	53.4	4.1	0
2001-02-23	17.2	-2.1	6.7	63.1	4.2	0
2001-02-24	15	-0.6	6.8	74.8	8.1	0
2001-02-25	13.3	4.9	7.9	59.6	11.4	0
2001-02-26	9.7	0.1	5	46.9	17.8	0
2001-02-27	8.6	-4.3	2.9	52.3	10.9	0
2001-02-28	7.7	1.8	5.1	51	21.8	0
2001-03-01	8.2	1.8	4.7	44.6	22.9	0
2001-03-02	6.4	3.5	4.4	88.2	9.3	0
2001-03-03	14.3	3.7	10.3	88.8	27.8	5.85
2001-03-04	14.3	8.8	11.2	82	26.2	11.7
2001-03-05	13.4	9.2	11	90.5	16.3	11.7
2001-03-06	15.1	10	12.5	84.9	10.4	1
2001-03-07	21	11.6	15	80.4	13	2
2001-03-08	14.4	9.9	12.5	88	10.9	20
2001-03-09	13.1	8.1	10.1	79.4	26.2	1
2001-03-10	13.7	10	11.8	82.8	26.4	0
2001-03-11	18.4	11.7	14.6	84.4	24.8	0
2001-03-12	19	11.6	14.7	81	7.9	0
2001-03-13	15.5	5.4	11.1	75.7	13.7	1
2001-03-14	14.5	1.2	7.9	63	5.8	0
2001-03-15	16.1	0.3	8.3	68.8	2.5	0
2001-03-16	19.7	1.8	11	58.6	5.8	0
2001-03-17	14	4.8	10	70.9	16.2	1
2001-03-18	12.2	5.9	9.2	63.8	14.1	0
2001-03-19	14.5	4.4	9.8	80.2	13.9	0
2001-03-20	14.7	6.7	11	81.3	11.4	0
2001-03-21	18.1	6.1	12.8	75.3	12.3	0
2001-03-22	18.1	12	14.6	72.4	20.8	0
2001-03-23	21.6	12.5	15.8	68.5	11.4	0
2001-03-24	24.3	6.2	15.2	61.6	5.3	0
2001-03-25	16.4	8.8	13.2	58.7	27.1	0.5
2001-03-26	14	6.4	9.6	73.5	17.8	0.2
2001-03-27	12.9	5.4	8.6	84.2	10.7	5.4
2001-03-28	14.5	2.7	9.2	71.2	8.8	0
2001-03-29	15.6	3.9	10.7	63.8	11.4	0
2001-03-30	14.6	7.9	11.3	58.5	29.4	0
2001-03-31	17.9	9.6	13.6	62.2	16.2	0
2001-04-01	21.4	8.3	15.3	57.3	9	0
2001-04-02	21.3	6.2	14.6	51.2	6.5	0
2001-04-03	18.6	4.4	12.4	61	10.4	0
2001-04-04	17.2	5.7	12	61.7	10.7	0
2001-04-05	18.7	3.1	12.1	67.7	11.6	0
2001-04-06	19.7	10.3	14.5	70.6	7.1	0
2001-04-07	21.3	5.9	14.1	65.8	12.2	0
2001-04-08	15	9.4	11.9	44.6	31.5	0
2001-04-09	17.5	4.8	11.5	47.5	10.7	0
2001-04-10	22.1	6.2	13.5	42.3	6.4	0
2001-04-11	22.6	5.1	13.9	50.6	10.2	0
2001-04-12	17.6	6.6	12	44.7	17.2	0
2001-04-13	20.1	2	11.4	41.9	11.1	0
2001-04-14	19.3	4.5	11.8	38.5	18.3	0
2001-04-15	20	5.6	12.1	39.2	17	0
2001-04-16	22.3	1.6	12.7	39.1	6.7	0
2001-04-17	23.5	4	14.7	47.5	8.6	0
2001-04-18	21.2	7	13.2	62	9.7	5.4
2001-04-19	15.6	8.1	11.1	74.9	6.3	3
2001-04-20	18	2.6	10.6	64.7	10.4	0.5
2001-04-21	15.1	1.9	7.7	47.4	14.4	0
2001-04-22	14.8	1.7	8.3	43.6	8.1	0
2001-04-23	19.5	1.3	11.4	61.5	17.1	0
2001-04-24	20.4	11	15.3	64.2	22	0
2001-04-25	18.7	9.7	14.4	64.1	20.4	0
2001-04-26	17.2	8.3	12.4	40.4	13	0
2001-04-27	20.5	2.4	13.2	49.1	7.4	0
2001-04-28	19.2	5.1	12.9	49.7	9.5	0
2001-04-29	21.6	2.8	13.8	51	7.2	0
2001-04-30	18.4	5.9	11.7	60.7	9	4
2001-05-01	11.9	3.1	7.6	50	7.2	0
2001-05-02	11.3	3.5	6.3	78.3	11.8	3.4
2001-05-03	11.8	1.6	6.7	76.7	6.9	0
2001-05-04	14.2	4.9	8.5	66.6	8.3	0
2001-05-05	14.3	2	8.8	73.3	6	0
2001-05-06	15.4	4.2	10	54.2	12	0
2001-05-07	17.2	1.2	10.1	53.9	8.6	0
2001-05-08	18.5	2	11.2	53.8	5.8	0
2001-05-09	19.6	7.3	12.9	66.6	11.6	5
2001-05-10	16.4	8.8	11.3	76.1	6.9	11
2001-05-11	17.2	7.6	11.8	79.2	5.6	1
2001-05-12	21	6.1	14.6	63.7	5.1	0
2001-05-13	22.1	6.7	15.9	59.2	11.8	0
2001-05-14	18.1	10.3	14.4	57.3	12.3	0
2001-05-15	14.9	10.8	12.8	71.1	10.4	1.2
2001-05-16	19.2	11.2	14.6	70.9	13.7	0.6
2001-05-17	23	9.5	16.8	61.5	12	0
2001-05-18	24.4	8.6	18.1	61	8.1	0
2001-05-19	25.7	15	18.7	64.1	10.9	0
2001-05-20	19.8	12	15.8	78.7	3.7	2.2
2001-05-21	22.4	12.5	16.6	70.7	4.9	0.1
2001-05-22	23.4	11.4	16.9	67	10.6	0.1
2001-05-23	23.6	10.8	16.7	64.1	7.4	0
2001-05-24	26.1	9.6	18.5	49.9	4.8	0
2001-05-25	26.8	10.8	19.2	52.8	6	0
2001-05-26	29.7	9.4	20.4	47.8	6	0
2001-05-27	31.1	12.5	23.1	37.8	6.5	0
2001-05-28	30.6	13.6	23	42.1	5.6	0
2001-05-29	33.7	13	23.9	40.5	5.6	0
2001-05-30	33.3	14.1	25.4	35.3	6.7	0
2001-05-31	33.9	14.2	24.9	37.7	5.3	0
2001-06-01	34.4	15.4	25.7	34.9	6.7	0
2001-06-02	32.5	18.6	25.1	33.8	7.9	0
2001-06-03	33.1	15	24.3	38.2	8.3	0
2001-06-04	33.1	12.6	24.4	30.7	10.9	0
2001-06-05	31.2	12.7	23.7	26.4	10.9	0
2001-06-06	31.6	10.6	22.8	28.6	11.6	0
2001-06-07	29.4	15.3	22.5	29.3	8.3	0
2001-06-08	31.7	11.9	23.5	32.1	7.9	0
2001-06-09	31.2	11.9	24.2	27.4	17.4	0
2001-06-10	23.6	14.1	18.8	63.7	13.4	0.4
2001-06-11	22.9	12.3	17.1	61.5	12.2	0
2001-06-12	26.2	8.9	17.3	37.2	8.3	0
2001-06-13	27.5	10.2	19.8	46.9	6.7	0
2001-06-14	30	10.7	21.9	40.9	9.7	0
2001-06-15	32.2	13	24.6	33.6	11.6	0
2001-06-16	28.6	14.7	22.5	31.7	19.7	0
2001-06-17	24.4	10.7	18.7	35.2	11.6	0
2001-06-18	26.3	11	19.4	33	9.3	0
2001-06-19	28.5	10.3	19.7	27.8	12.5	0
2001-06-20	31.9	10.4	22.1	26.7	4.4	0
2001-06-21	34.7	12.3	24.9	27.9	7.2	0
2001-06-22	37	14	26.6	21.4	6.9	0
2001-06-23	37	17.3	27.9	25.6	7.2	0
2001-06-24	36.4	15.5	27.6	25.1	10.2	0
2001-06-25	38	15.8	28.1	20	10.4	0
2001-06-26	35.6	17.1	28.6	24.6	9	0
2001-06-27	33.1	15.8	25.7	25.5	12.3	0
2001-06-28	30.7	15.6	22.1	34.8	7.6	0
2001-06-29	29.6	13.2	22.3	34.6	7.6	0
2001-06-30	32.5	13.2	24.9	27.3	5.8	0
2001-07-01	35.1	15.6	26.8	25.3	4.9	0
2001-07-02	36.1	17.5	28	24.6	5.8	0
2001-07-03	36.4	19.2	27.5	28.3	10.2	0
2001-07-04	33.9	18.2	26.9	29.3	5.8	0
2001-07-05	26.8	16.3	22.9	36.3	14.8	0
2001-07-06	24.6	11.3	19	39.1	13	0
2001-07-07	23.5	14.1	18.5	49.3	15.3	0.4
2001-07-08	27.5	9.7	20	43.3	7.1	0
