"station"	"name"	"address"	"altitude"	"type"	"longitude"	"latitude"
"28079004"	"Pza. de España"	"Plaza de España"	635	"UT"	-3.71224722222222	40.4238527777778
"28079008"	"Escuelas Aguirre"	"Entre C/ Alcalá y C/ O' Donell"	670	"UT"	-3.68231944444444	40.4215638888889
"28079011"	"Avda. Ramón y Cajal"	"Avda. Ramón y Cajal esq. C/ Príncipe de Vergara"	708	"UT"	-3.67735555555556	40.451475
"28079016"	"Arturo Soria"	"C/ Arturo Soria esq. C/ Vizconde de los Asilos"	693	"UF"	-3.63923333333333	40.4400472222222
"28079017"	"Villaverde"	"C/. Juan Peñalver"	604	"UF"	-3.71332222222222	40.3471388888889
"28079018"	"Farolillo"	"Calle Farolillo - C/Ervigio"	630	"UF"	-3.73185277777778	40.3947805555556
"28079024"	"Casa de Campo"	"Casa de Campo (Terminal del Teleférico)"	642	"S"	-3.74734722222222	40.4193555555556
"28079027"	"Barajas Pueblo"	"C/. Júpiter 21 (Barajas)"	621	"UF"	-3.58003055555556	40.4769277777778
"28079035"	"Pza. del Carmen"	"Plaza del Carmen esq. Tres Cruces."	659	"UF"	-3.70317222222222	40.4192083333333
"28079036"	"Moratalaz"	"Avd. Moratalaz esq. Camino de los Vinateros"	685	"UT"	-3.64530555555556	40.4079472222222
"28079038"	"Cuatro Caminos"	"Avda. Pablo Iglesias esq. C/ Marqués de Lema"	698	"UT"	-3.70712777777778	40.4455444444444
"28079039"	"Barrio del Pilar"	"Avd. Betanzos esq. C/ Monforte de Lemos"	674	"UT"	-3.71154166666667	40.4782277777778
"28079040"	"Vallecas"	"C/ Arroyo del Olivar esq. C/ Río Grande."	677	"UF"	-3.65152222222222	40.3881527777778
"28079047"	"Mendez Alvaro"	"C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro"	599	"UF"	-3.686825	40.3981138888889
"28079048"	"Castellana"	"C/ Jose Gutierrez Abascal"	676	"UT"	-3.69036666666667	40.4398972222222
"28079049"	"Parque del Retiro"	"Paseo Venezuela- Casa de Vacas"	662	"UF"	-3.68258333333333	40.4144444444444
"28079050"	"Plaza Castilla"	"Plaza Castilla (Canal)"	728	"UT"	-3.68876944444444	40.4655722222222
"28079054"	"Ensanche de Vallecas"	"Avda La Gavia / Avda. Las Suertes"	627	"UF"	-3.61211666666667	40.3729333333333
"28079055"	"Urb. Embajada"	"C/ Riaño (Barajas)"	618	"UF"	-3.58074722222222	40.4625305555556
"28079056"	"Pza. Fernández Ladreda"	"Pza. Fernández Ladreda - Avda. Oporto"	604	"UT"	-3.71872777777778	40.3849638888889
"28079057"	"Sanchinarro"	"C/ Princesa de Eboli esq C/ Maria Tudor"	700	"UF"	-3.66050277777778	40.4942083333333
"28079058"	"El Pardo"	"Avda. La Guardia"	615	"S"	-3.77461111111111	40.5180583333333
"28079059"	"Juan Carlos I"	"Parque Juan Carlos I (frente oficinas mantenimiento)"	660	"S"	-3.60907222222222	40.46525
"28079060"	"Tres Olivos"	"Plaza Tres Olivos"	715	"UF"	-3.68976111111111	40.5005888888889
