"date"	"m30_density"
2013-01-01	5632074
2013-01-02	7859518
2013-01-03	8102619
2013-01-04	8485894
2013-01-05	6116583
2013-01-06	6174707
2013-01-07	5206240
2013-01-08	8540624
2013-01-09	8809652
2013-01-10	8880924
2013-01-11	9210320
2013-01-12	6515795
2013-01-13	5626008
2013-01-14	8839961
2013-01-15	8974187
2013-01-16	9016631
2013-01-17	11090922
2013-01-18	9640522
2013-01-19	6426208
2013-01-20	5544228
2013-01-21	9016293
2013-01-22	8257892
2013-01-23	8324099
2013-01-24	9109110
2013-01-25	9631234
2013-01-26	6754877
2013-01-27	5577480
2013-01-28	8562489
2013-01-29	9057995
2013-01-30	8537123
2013-01-31	9079650
2013-02-01	9183763
2013-02-02	6520617
2013-02-03	5891888
2013-02-04	9971217
2013-02-05	8936091
2013-02-06	8932061
2013-02-07	9114997
2013-02-08	9155849
2013-02-09	6480181
2013-02-10	5805006
2013-02-11	8816700
2013-02-12	9016024
2013-02-13	9227101
2013-02-14	7343870
2013-02-15	9297311
2013-02-16	6631419
2013-02-17	5938657
2013-02-18	8672958
2013-02-19	8675056
2013-02-20	9060395
2013-02-21	9089239
2013-02-22	9748291
2013-02-23	6537648
2013-02-24	5734776
2013-02-25	8781169
2013-02-26	9117155
2013-02-27	11316112
2013-02-28	9867661
2013-03-01	11059668
2013-03-02	6793969
2013-03-03	6001862
2013-03-04	8778940
2013-03-05	8829374
2013-03-06	9019716
2013-03-07	9100869
2013-03-08	9093801
2013-03-09	6805762
2013-03-10	2381203
2013-03-11	10779769
2013-03-12	2883558
2013-03-13	10825229
2013-03-14	9307976
2013-03-15	9194715
2013-03-16	6231719
2013-03-17	5239679
2013-03-18	5475801
2013-03-19	8848797
2013-03-20	9229046
2013-03-21	9320508
2013-03-22	8966882
2013-03-23	6112780
2013-03-24	5231783
2013-03-25	7634391
2013-03-26	7681659
2013-03-27	7700041
2013-03-28	4438398
2013-03-29	3699593
2013-03-30	2136645
2013-03-31	1193387
2013-04-01	1845204
2013-04-02	1941373
2013-04-03	10763795
2013-04-04	9043012
2013-04-05	9120410
2013-04-06	6934402
2013-04-07	5982415
2013-04-08	8720535
2013-04-09	8741934
2013-04-10	9207496
2013-04-11	9079357
2013-04-12	9204038
2013-04-13	6747439
2013-04-14	6052387
2013-04-15	8723675
2013-04-16	8942605
2013-04-17	9033458
2013-04-18	9069511
2013-04-19	9063948
2013-04-20	6736725
2013-04-21	5947731
2013-04-22	8722621
2013-04-23	8802950
2013-04-24	8838513
2013-04-25	7688928
2013-04-26	9190978
2013-04-27	6631234
2013-04-28	5748954
2013-04-29	8495978
2013-04-30	9010223
2013-05-01	5398453
2013-05-02	4702531
2013-05-03	7381292
2013-05-04	1287590
2013-05-05	1393005
2013-05-06	1955799
2013-05-07	1984733
2013-05-08	9036554
2013-05-09	9079804
2013-05-10	9169835
2013-05-11	6842524
2013-05-12	6040207
2013-05-13	8760472
2013-05-14	9055469
2013-05-15	5676002
2013-05-16	9393028
2013-05-17	8678302
2013-05-18	6577601
2013-05-19	5148716
2013-05-20	7802733
2013-05-21	9341849
2013-05-22	9368993
2013-05-23	8844440
2013-05-24	9555945
2013-05-25	7400772
2013-05-26	6044993
2013-05-27	9059167
2013-05-28	9011657
2013-05-29	9246283
2013-05-30	9131242
2013-05-31	9191866
2013-06-01	1575063
2013-06-02	1405327
2013-06-03	10377286
2013-06-04	8775174
2013-06-05	8894467
2013-06-06	9049806
2013-06-07	7077245
2013-06-08	6439230
2013-06-09	5736406
2013-06-10	8790033
2013-06-11	8689092
2013-06-12	8935504
2013-06-13	9655432
2013-06-14	9368136
2013-06-15	6323741
2013-06-16	5685920
2013-06-17	8571824
2013-06-18	8749274
2013-06-19	8883498
2013-06-20	7445415
2013-06-21	10894559
2013-06-22	6400875
2013-06-23	5832639
2013-06-24	9277009
2013-06-25	10692720
2013-06-26	8726134
2013-06-27	8933396
2013-06-28	9140420
2013-06-29	6276784
2013-06-30	5724392
2013-07-01	1873608
2013-07-02	10420639
2013-07-03	8822257
2013-07-04	9752462
2013-07-05	8363578
2013-07-06	5669351
2013-07-07	5313261
2013-07-08	7808332
2013-07-09	10209510
2013-07-10	8868488
2013-07-11	9659573
2013-07-12	10134193
2013-07-13	5491834
2013-07-14	5267648
2013-07-15	8586909
2013-07-16	10552948
2013-07-17	10817746
2013-07-18	10718153
2013-07-19	8688321
2013-07-20	5507219
2013-07-21	1131465
2013-07-22	9832552
2013-07-23	8440704
2013-07-24	8414258
2013-07-25	8483131
2013-07-26	8342201
2013-07-27	3044780
2013-07-28	1100232
2013-07-29	9471702
2013-07-30	8240386
2013-07-31	8380088
2013-08-01	9657220
2013-08-02	7697407
2013-08-03	4699140
2013-08-04	4314347
2013-08-05	6711700
2013-08-06	6681017
2013-08-07	6686389
2013-08-08	6764373
2013-08-09	6678523
2013-08-10	4169535
2013-08-11	3911235
2013-08-12	6237182
2013-08-13	4759369
2013-08-14	6448566
2013-08-15	2213646
2013-08-16	1194212
2013-08-17	881107
2013-08-18	897372
2013-08-19	1343545
2013-08-20	1309782
2013-08-21	1386727
2013-08-22	1389382
2013-08-23	1395369
2013-08-24	978584
2013-08-25	1000791
2013-08-26	8522022
2013-08-27	7132727
2013-08-28	7376035
2013-08-29	7528400
2013-08-30	7576345
2013-08-31	5705085
